"filename", "language", "JSON", "JavaScript", "JavaScript React", "CSS", "XML", "Markdown", "HTML", "comment", "blank", "total"
"c:\git\stuffs-store-frontend\src\pages\CheckoutPage\CheckoutPage.jsx", "JavaScript React", 0, 0, 39, 0, 0, 0, 0, 0, 7, 46
"c:\git\stuffs-store-frontend\src\pages\CheckoutPage\CheckoutPage.styles.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 0, 7, 39
"c:\git\stuffs-store-frontend\src\pages\CollectionPage\CollectionPage.jsx", "JavaScript React", 0, 0, 21, 0, 0, 0, 0, 0, 6, 27
"c:\git\stuffs-store-frontend\src\pages\CollectionPage\CollectionPage.styles.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 0, 5, 22
"c:\git\stuffs-store-frontend\src\pages\HomePage\HomePage.jsx", "JavaScript React", 0, 0, 9, 0, 0, 0, 0, 0, 4, 13
"c:\git\stuffs-store-frontend\src\pages\HomePage\HomePage.styles.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"c:\git\stuffs-store-frontend\src\pages\NotFound\NotFound.jsx", "JavaScript React", 0, 0, 7, 0, 0, 0, 0, 0, 3, 10
"c:\git\stuffs-store-frontend\src\pages\ShopPage\ShopPage.jsx", "JavaScript React", 0, 0, 13, 0, 0, 0, 0, 0, 4, 17
"c:\git\stuffs-store-frontend\src\redux\cart\cart.actions.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 4, 16
"c:\git\stuffs-store-frontend\src\redux\cart\cart.reducer.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 0, 4, 32
"c:\git\stuffs-store-frontend\src\redux\cart\cart.selectors.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 6, 26
"c:\git\stuffs-store-frontend\src\redux\cart\cart.types.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"c:\git\stuffs-store-frontend\src\redux\cart\cart.utils.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 0, 3, 27
"c:\git\stuffs-store-frontend\src\redux\directory\directory.data.js", "JavaScript", 0, 35, 0, 0, 0, 0, 0, 0, 2, 37
"c:\git\stuffs-store-frontend\src\redux\directory\directory.reducer.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 4, 15
"c:\git\stuffs-store-frontend\src\redux\directory\directory.selectors.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 3, 9
"c:\git\stuffs-store-frontend\src\redux\root.reducer.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 6, 25
"c:\git\stuffs-store-frontend\src\redux\shop\shop.data.js", "JavaScript", 0, 248, 0, 0, 0, 0, 0, 0, 2, 250
"c:\git\stuffs-store-frontend\src\redux\shop\shop.reducer.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 4, 15
"c:\git\stuffs-store-frontend\src\redux\shop\shop.selectors.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 0, 5, 20
"c:\git\stuffs-store-frontend\src\redux\store.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 7, 18
"c:\git\stuffs-store-frontend\src\redux\user\user.actions.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"c:\git\stuffs-store-frontend\src\redux\user\user.reducer.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 4, 20
"c:\git\stuffs-store-frontend\src\redux\user\user.selectors.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 3, 9
"c:\git\stuffs-store-frontend\src\redux\user\user.types.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\git\stuffs-store-frontend\src\service-worker.js", "JavaScript", 0, 38, 0, 0, 0, 0, 0, 24, 12, 74
"c:\git\stuffs-store-frontend\src\serviceWorkerRegistration.js", "JavaScript", 0, 98, 0, 0, 0, 0, 0, 31, 13, 142
"Total", "-", 45567, 1203, 533, 25, 68, 10, 21, 80, 350, 47857
